state,x,y
Andhra Pradesh,58,-147
Arunachal Pradesh,285,150
Assam,205,94
Bihar,40,78
Chhattisgarh,2,-18
Goa,-144,-218
Gujarat,-243,8
Haryana,-124,152
Himachal Pradesh,-132,197
Jharkhand,34,12
Karnataka,-98,-189
Kerala,-124,-302
Madhya Pradesh,-83,2
Maharashtra,-82,-109
Manipur,250,36
Meghalaya,178,73
Mizoram,220,-9
Nagaland,278,73
Odisha,93,-63
Punjab,-160,190
Rajasthan,-156,87
Sikkim,101,117
Tamil Nadu,-47,-308
Telangana,-27,-89
Tripura,180,31
Uttar Pradesh,-15,87
Uttarakhand,-55,155
West Bengal,116,22
